[75, 143, 30.37, 27.5, [[], [1550.4827706579688, 1555.84080075409, 1560.2813296848915], [], []]]
[75, 145, 30.69, 27.47, [[], [1550.4828114570626, 1555.839837204988, 1560.2823885176638], [], []]]
[75, 147, 30.83, 27.53, [[], [1550.4834531159877, 1555.83968408409, 1560.2816925388547], [], []]]
[75, 149, 30.97, 27.48, [[], [1550.4842409105695, 1555.8386962618665, 1560.2821413743807], [], []]]
[75, 151, 30.92, 27.42, [[], [1550.4851648247368, 1555.8383100947112, 1560.2834653862003], [], []]]
[75, 153, 30.68, 27.56, [[], [1550.4851996891434, 1555.838011694609, 1560.2839949926188], [], []]]
[75, 155, 30.41, 27.44, [[], [1550.485182256634, 1555.8382574362943, 1560.2855837946377], [], []]]
[75, 157, 30.39, 27.41, [[], [1550.4850427973483, 1555.8386787069292, 1560.286325246758], [], []]]
[75, 159, 30.28, 27.44, [[], [1550.4856540443895, 1555.8389281833336, 1560.2869104535046], [], []]]
[75, 161, 30.16, 27.42, [[], [1550.4850227696325, 1555.8390656203323, 1560.288845568869], [], []]]
[75, 163, 30.08, 27.5, [[], [1550.4849545231232, 1555.8388251063914, 1560.2897785802156], [], []]]
[75, 165, 30.15, 27.44, [[], [1550.4848180317977, 1555.8389453635496, 1560.2913508935746], [], []]]
[75, 167, 30.32, 27.45, [[], [1550.485060230381, 1555.8389068967745, 1560.2928570856425], [], []]]
[75, 169, 30.78, 27.39, [[], [1550.4851125274777, 1555.8395212499847, 1560.2925216660474], [], []]]
[75, 171, 31.19, 27.44, [[], [1550.485500490382, 1555.8403540836787, 1560.2961369195214], [], []]]
[75, 173, 31.67, 27.44, [[], [1550.4847290152375, 1555.8403813468483, 1560.2958935114116], [], []]]
[80, 135, 32.05, 27.45, [[], [1550.4847327242478, 1555.8402853653668, 1560.2799992966086], [], []]]
[80, 137, 31.73, 27.45, [[], [1550.4849715841813, 1555.8406804949707, 1560.2806385638019], [], []]]
[80, 139, 30.74, 27.41, [[], [1550.4845109259547, 1555.8413504991074, 1560.2799820188827], [], []]]
[80, 141, 30.14, 27.41, [[], [1550.4850568919605, 1555.8411099836685, 1560.2815715739255], [], []]]
[80, 143, 30.11, 27.45, [[], [1550.4855346132572, 1555.8411615231382, 1560.2824872999022], [], []]]
[80, 145, 30.25, 27.5, [[], [1550.4853298753699, 1555.842037682692, 1560.282971072359], [], []]]
[80, 147, 30.4, 27.42, [[], [1550.4851080762658, 1555.8424328141152, 1560.2842841879155], [], []]]
[80, 149, 30.41, 27.5, [[], [1550.484938203137, 1555.842733453988, 1560.285477861285], [], []]]
[80, 151, 30.99, 27.41, [[], [1550.4851125273876, 1555.843523342927, 1560.2857779833541], [], []]]
[80, 153, 31.76, 27.48, [[], [1550.4846303548977, 1555.8439102566774, 1560.2863056909416], [], []]]
[80, 155, 32.04, 27.39, [[], [1550.4851421991052, 1555.844666160822, 1560.28729055115], [], []]]
[80, 157, 31.27, 27.37, [[], [1550.4852345536397, 1555.8446818497314, 1560.287243229469], [], []]]
[80, 159, 30.24, 27.38, [[], [1550.4848336092318, 1555.8460509932295, 1560.2892027710811], [], []]]
[80, 161, 30.39, 27.39, [[], [1550.4837602207192, 1555.845284627736, 1560.2907115679495], [], []]]
[80, 163, 31.19, 27.45, [[], [1550.4841537465782, 1555.8463142885944, 1560.2921862116127], [], []]]
[80, 165, 31.97, 27.44, [[], [1550.4844426785808, 1555.846865158474, 1560.2927158255486], [], []]]
[80, 167, 32.2, 27.48, [[], [1550.4843455026532, 1555.8479291782592, 1560.2924333901951], [], []]]
[80, 169, 32.14, 27.45, [[], [1550.4840161423822, 1555.8480849159907, 1560.2945818624517], [], []]]
[80, 171, 31.81, 27.38, [[], [1550.483811405042, 1555.8483769724323, 1560.2955148864603], [], []]]
[80, 173, 31.11, 27.47, [[], [1550.4836749134513, 1555.8491672387377, 1560.2968798676218], [], []]]
[85, 135, 30.26, 27.44, [[], [1550.4838748291618, 1555.8478414157792, 1560.2813646096124], [], []]]
[85, 137, 29.97, 27.39, [[], [1550.4836066675773, 1555.8481879940564, 1560.281329675612], [], []]]
[85, 139, 30.23, 27.38, [[], [1550.483404155418, 1555.8476132213789, 1560.2826356422963], [], []]]
[85, 141, 30.8, 27.44, [[], [1550.4832142544485, 1555.8488064656415, 1560.2834893970137], [], []]]
[85, 143, 31.04, 27.45, [[], [1550.4830555087015, 1555.8497371583871, 1560.2835712755445], [], []]]
[85, 145, 30.86, 27.44, [[], [1550.4831289473748, 1555.850266742021, 1560.2846643017283], [], []]]
[85, 147, 30.65, 27.37, [[], [1550.483180131891, 1555.8514693279535, 1560.2851480719555], [], []]]
[85, 149, 30.43, 27.44, [[], [1550.4832483770065, 1555.850644697472, 1560.2868412997607], [], []]]
[85, 151, 30.18, 27.38, [[], [1550.4833507459148, 1555.8509711135966, 1560.2864439190296], [], []]]
[85, 153, 30.22, 27.39, [[], [1550.4826853500483, 1555.8517270237141, 1560.2884308780037], [], []]]
[85, 155, 30.12, 27.35, [[], [1550.4827417271863, 1555.8522121677088, 1560.288620180089], [], []]]
[85, 157, 30.31, 27.35, [[], [1550.4824123671688, 1555.8531701285633, 1560.2897094320822], [], []]]
[85, 159, 30.93, 27.35, [[], [1550.4822710541273, 1555.8542483492693, 1560.29027962012], [], []]]
[85, 161, 31.71, 27.41, [[], [1550.4824976744292, 1555.8555648508564, 1560.2910034273639], [], []]]
[85, 163, 32.14, 27.41, [[], [1550.481883463579, 1555.8550255513085, 1560.2918864723588], [], []]]
[85, 165, 32.0, 27.39, [[], [1550.481678355789, 1555.8542659033687, 1560.2929453045485], [], []]]
[85, 167, 31.21, 27.37, [[], [1550.48139943904, 1555.8550382501232, 1560.2944811772306], [], []]]
[85, 169, 30.39, 27.38, [[], [1550.4812180692993, 1555.8550427309717, 1560.2959986683402], [], []]]
[85, 171, 30.11, 27.39, [[], [1550.4814739897618, 1555.8549740115361, 1560.2969316632505], [], []]]
[85, 173, 30.19, 27.37, [[], [1550.4813033759317, 1555.855712750408, 1560.297242664952], [], []]]
