[50, 138, 31.79, 27.17, [[], [1550.4600451703923, 1555.8567830505149, 1560.2750941407871], [], []], [[], [1550.4594036809872, 1555.8518576050842, 1560.2837831765423], [], []]]
[50, 141, 31.84, 27.2, [[], [1550.4602857294894, 1555.8572675235416, 1560.2756625746067], [], []], [[], [1550.4590829356634, 1555.8502427039634, 1560.2839455484575], [], []]]
[50, 144, 31.69, 27.19, [[], [1550.459964983999, 1555.8572675240443, 1560.2755813696303], [], []], [[], [1550.4591631215585, 1555.8520190962608, 1560.2813470029942], [], []]]
[50, 147, 31.44, 27.22, [[], [1550.459964984082, 1555.856056341059, 1560.275418960185], [], []], [[], [1550.4595640531104, 1555.8554911556332, 1560.2813469764526], [], []]]
[50, 150, 31.02, 27.22, [[], [1550.4600451703923, 1555.856056341059, 1560.2745257076435], [], []], [[], [1550.4593234940962, 1555.8521805969917, 1560.2833771259643], [], []]]
[50, 153, 30.47, 27.19, [[], [1550.4606064751456, 1555.8544414334851, 1560.275256550655], [], []], [[], [1550.4592433083667, 1555.854764432181, 1560.2828898832583], [], []]]
[50, 156, 30.16, 27.19, [[], [1550.4602857294894, 1555.856137086731, 1560.2753377556314], [], []], [[], [1550.4594036822316, 1555.8489507971804, 1560.2867065549283], [], []]]
[50, 159, 29.94, 27.2, [[], [1550.4601253568685, 1555.8552488874395, 1560.2759873940893], [], []], [[], [1550.4589225627103, 1555.8515346306935, 1560.2861381596533], [], []]]
[50, 162, 29.93, 27.22, [[], [1550.4600451703925, 1555.8562178334928, 1560.2754189604386], [], []], [[], [1550.4595640530274, 1555.8504041909496, 1560.2849201058025], [], []]]
[50, 165, 29.93, 27.17, [[], [1550.460205543179, 1555.8554911235337, 1560.2755001649923], [], []], [[], [1550.4589225625446, 1555.850081211362, 1560.289061621045], [], []]]
[50, 168, 29.95, 27.16, [[], [1550.4598847976888, 1555.8551681417678, 1560.2750129358951], [], []], [[], [1550.4589225626273, 1555.8502426949958, 1560.2953957070802], [], []]]
[50, 171, 29.9, 27.2, [[], [1550.4605262887521, 1555.856056341478, 1560.2756625746913], [], []], [[], [1550.458361259865, 1555.8529880425654, 1560.2914978116685], [], []]]
[50, 174, 29.83, 27.22, [[], [1550.459964984165, 1555.8572675241282, 1560.2750941412096], [], []], [[], [1550.4592433089474, 1555.853795483194, 1560.2854073343076], [], []]]
[55, 135, 29.86, 27.17, [[], [1550.4599649841646, 1555.8576712525723, 1560.2751753456787], [], []], [[], [1550.4581207016804, 1555.855087409673, 1560.2862193705464], [], []]]
[55, 138, 29.9, 27.17, [[], [1550.459403679826, 1555.8579134891693, 1560.2742820934754], [], []], [[], [1550.458441445346, 1555.854925915563, 1560.2866254057403], [], []]]
[55, 141, 29.93, 27.26, [[], [1550.4592433072053, 1555.8591246750884, 1560.274931731426], [], []], [[], [1550.458120701183, 1555.8570253002704, 1560.286625440904], [], []]]
[55, 144, 30.03, 27.32, [[], [1550.459243307288, 1555.8588824371504, 1560.2747693221497], [], []], [[], [1550.4573990256335, 1555.8555718806042, 1560.2886555540692], [], []]]
[55, 147, 30.2, 27.23, [[], [1550.4592433073713, 1555.8600936243263, 1560.2752565506548], [], []], [[], [1550.4589225627935, 1555.8489508512375, 1560.2886555734258], [], []]]
